engine,suite,test,metric,unit,value,ts,run_id,round,velox_ver,dd_ver
velox,env,vcpu,count,n,8,1787582729.804841,2026-08-24,0,1.2.0,4.88.0
velox,env,memory,total_mb,MB,8017,1787582729.870461,2026-08-24,0,1.2.0,4.88.0
velox,disk,installed_footprint,size,MB,357,1787582730.093586,2026-08-24,0,1.2.0,4.88.0
dd,disk,installed_footprint,size,MB,2193,1787582730.177909,2026-08-24,0,1.2.0,4.88.0
velox,disk,atrest_footprint,size,MB,5668,1787582730.258709,2026-08-24,0,1.2.0,4.88.0
dd,disk,atrest_footprint,size,MB,6187,1787582730.328743,2026-08-24,0,1.2.0,4.88.0
dd,env,vcpu,count,n,8,1787582797.6321301,2026-08-24,0,1.2.0,4.88.0
dd,env,memory,total_mb,MB,7934,1787582797.7026482,2026-08-24,0,1.2.0,4.88.0
velox,idle,cpu,pct,pct,0.76,1787583114.29982,2026-08-24,0,1.2.0,4.88.0
velox,idle,rss_active,host_rss,MB,734,1787583114.447576,2026-08-24,0,1.2.0,4.88.0
velox,idle,rss_saver,host_rss,MB,373,1787583415.2164412,2026-08-24,0,1.2.0,4.88.0
velox,idle,cpu_saver,pct,pct,0.58,1787583415.361384,2026-08-24,0,1.2.0,4.88.0
dd,idle,cpu,pct,pct,3.52,1787583721.9653141,2026-08-24,0,1.2.0,4.88.0
dd,idle,rss_active,host_rss,MB,1771,1787583722.111833,2026-08-24,0,1.2.0,4.88.0
dd,idle,rss_saver,host_rss,MB,847,1787584023.6389031,2026-08-24,0,1.2.0,4.88.0
dd,idle,cpu_saver,pct,pct,1.68,1787584023.767853,2026-08-24,0,1.2.0,4.88.0
velox,lifecycle,restart_to_ready,time_s,s,1.347,1787584028.5237188,2026-08-24,1,1.2.0,4.88.0
dd,lifecycle,restart_to_ready,time_s,s,2.001,1787584047.56578,2026-08-24,1,1.2.0,4.88.0
dd,lifecycle,restart_to_ready,time_s,s,1.959,1787584063.372083,2026-08-24,2,1.2.0,4.88.0
velox,lifecycle,restart_to_ready,time_s,s,1.227,1787584068.712817,2026-08-24,2,1.2.0,4.88.0
velox,lifecycle,restart_to_ready,time_s,s,1.229,1787584073.525986,2026-08-24,3,1.2.0,4.88.0
dd,lifecycle,restart_to_ready,time_s,s,1.99,1787584089.380897,2026-08-24,3,1.2.0,4.88.0
dd,lifecycle,restart_to_ready,time_s,s,1.96,1787584105.177949,2026-08-24,4,1.2.0,4.88.0
velox,lifecycle,restart_to_ready,time_s,s,1.23,1787584110.510467,2026-08-24,4,1.2.0,4.88.0
velox,lifecycle,restart_to_ready,time_s,s,1.237,1787584115.320498,2026-08-24,5,1.2.0,4.88.0
dd,lifecycle,restart_to_ready,time_s,s,2.016,1787584131.180873,2026-08-24,5,1.2.0,4.88.0
velox,launch,run_true,median_s,s,0.10993583084,1787584244.4670742,2026-08-24,1,1.2.0,4.88.0
velox,launch,churn30_per,per_s,s,0.115,1787584248.132063,2026-08-24,1,1.2.0,4.88.0
velox,launch,parallel20_total,total_s,s,0.859,1787584249.23567,2026-08-24,1,1.2.0,4.88.0
velox,net,pubport_h2c_p1,gbits,gbps,33.72,1787584258.761326,2026-08-24,1,1.2.0,4.88.0
velox,net,pubport_h2c_p4,gbits,gbps,56.72,1787584266.9269109,2026-08-24,1,1.2.0,4.88.0
velox,net,c2host,gbits,gbps,94.37,1787584275.312268,2026-08-24,1,1.2.0,4.88.0
velox,net,c2c,gbits,gbps,126.15,1787584283.825496,2026-08-24,1,1.2.0,4.88.0
velox,io,cp_out,mbps,MBps,490.0,1787584286.649821,2026-08-24,1,1.2.0,4.88.0
velox,io,cp_in,mbps,MBps,355.1,1787584289.7832599,2026-08-24,1,1.2.0,4.88.0
velox,fs,bind_write,mbps,MBps,1142.0,1787584291.162376,2026-08-24,1,1.2.0,4.88.0
velox,fs,bind_read,mbps,MBps,2427.1,1787584291.816149,2026-08-24,1,1.2.0,4.88.0
velox,fs,vol_write,mbps,MBps,1848.5,1787584292.647744,2026-08-24,1,1.2.0,4.88.0
velox,fs,overlay_write,mbps,MBps,1329.1,1787584293.688587,2026-08-24,1,1.2.0,4.88.0
velox,fs,smallfiles_bind,extract_s,s,3.213,1787584297.168016,2026-08-24,1,1.2.0,4.88.0
velox,image,load_local,total_s,s,7.05,1787584314.18863,2026-08-24,1,1.2.0,4.88.0
velox,image,load_local,size_mb,MB,381,1787584314.3480651,2026-08-24,1,1.2.0,4.88.0
velox,realworld,pgbench_init,load_s,s,3.059,1787584320.600686,2026-08-24,1,1.2.0,4.88.0
velox,realworld,pgbench_tps,tps,tps,11221.704121,1787584350.780791,2026-08-24,1,1.2.0,4.88.0
velox,build,cold,total_s,s,1.822,1787584354.586638,2026-08-24,1,1.2.0,4.88.0
velox,build,cached_noop,total_s,s,0.278,1787584355.079233,2026-08-24,1,1.2.0,4.88.0
velox,build,incremental,total_s,s,1.523,1787584356.8197608,2026-08-24,1,1.2.0,4.88.0
velox,build,context_xfer,mbps,MBps,129.4,1787584361.232961,2026-08-24,1,1.2.0,4.88.0
velox,compose,up_ready,total_s,s,3.356,1787584367.868298,2026-08-24,1,1.2.0,4.88.0
velox,compose,down,total_s,s,10.403,1787584378.493922,2026-08-24,1,1.2.0,4.88.0
velox,emul,amd64_sha,total_s,s,2.056,1787584485.677218,2026-08-24,1,1.2.0,4.88.0
velox,emul,native_sha,total_s,s,0.421,1787584485.762084,2026-08-24,1,1.2.0,4.88.0
velox,emul,amd64_tax,ratio,x,4.88,1787584485.894651,2026-08-24,1,1.2.0,4.88.0
dd,launch,run_true,median_s,s,0.1288835137,1787584589.079343,2026-08-24,1,1.2.0,4.88.0
dd,launch,churn30_per,per_s,s,0.133,1787584593.2757719,2026-08-24,1,1.2.0,4.88.0
dd,launch,parallel20_total,total_s,s,1.02,1787584594.540431,2026-08-24,1,1.2.0,4.88.0
dd,net,pubport_h2c_p1,gbits,gbps,12.66,1787584603.85498,2026-08-24,1,1.2.0,4.88.0
dd,net,pubport_h2c_p4,gbits,gbps,22.69,1787584612.024244,2026-08-24,1,1.2.0,4.88.0
dd,net,c2host,gbits,gbps,25.54,1787584620.4608378,2026-08-24,1,1.2.0,4.88.0
dd,net,c2c,gbits,gbps,81.96,1787584629.092561,2026-08-24,1,1.2.0,4.88.0
dd,io,cp_out,mbps,MBps,227.4,1787584634.361344,2026-08-24,1,1.2.0,4.88.0
dd,io,cp_in,mbps,MBps,152.3,1787584641.289813,2026-08-24,1,1.2.0,4.88.0
dd,fs,bind_write,mbps,MBps,1116.5,1787584643.002513,2026-08-24,1,1.2.0,4.88.0
dd,fs,bind_read,mbps,MBps,2018.3,1787584643.745408,2026-08-24,1,1.2.0,4.88.0
dd,fs,vol_write,mbps,MBps,1839.9,1787584644.5553439,2026-08-24,1,1.2.0,4.88.0
dd,fs,overlay_write,mbps,MBps,1732.0,1787584645.410929,2026-08-24,1,1.2.0,4.88.0
dd,fs,smallfiles_bind,extract_s,s,2.655,1787584648.312803,2026-08-24,1,1.2.0,4.88.0
dd,image,load_local,total_s,s,6.766,1787584662.810158,2026-08-24,1,1.2.0,4.88.0
dd,image,load_local,size_mb,MB,381,1787584662.963236,2026-08-24,1,1.2.0,4.88.0
dd,realworld,pgbench_init,load_s,s,2.843,1787584669.4649549,2026-08-24,1,1.2.0,4.88.0
dd,realworld,pgbench_tps,tps,tps,11772.221348,1787584699.6279428,2026-08-24,1,1.2.0,4.88.0
dd,build,cold,total_s,s,1.768,1787584702.165442,2026-08-24,1,1.2.0,4.88.0
dd,build,cached_noop,total_s,s,0.248,1787584702.6229372,2026-08-24,1,1.2.0,4.88.0
dd,build,incremental,total_s,s,1.55,1787584704.3771782,2026-08-24,1,1.2.0,4.88.0
dd,build,context_xfer,mbps,MBps,34.6,1787584719.506021,2026-08-24,1,1.2.0,4.88.0
dd,compose,up_ready,total_s,s,5.297,1787584728.64818,2026-08-24,1,1.2.0,4.88.0
dd,compose,down,total_s,s,3.522,1787584732.3997881,2026-08-24,1,1.2.0,4.88.0
dd,emul,amd64_sha,total_s,s,3.933,1787586336.2594419,2026-08-24,1,1.2.0,4.88.0
dd,emul,native_sha,total_s,s,0.634,1787586336.34621,2026-08-24,1,1.2.0,4.88.0
dd,emul,amd64_tax,ratio,x,6.2,1787586336.516649,2026-08-24,1,1.2.0,4.88.0
velox,disk,installed_footprint,size,MB,357,1787641080.067227,2026-08-24,0,1.2.0,4.88.0
dd,disk,installed_footprint,size,MB,2193,1787641080.128273,2026-08-24,0,1.2.0,4.88.0
velox,disk,atrest_footprint,size,MB,13266,1787641080.188889,2026-08-24,0,1.2.0,4.88.0
dd,disk,atrest_footprint,size,MB,13977,1787641080.2489002,2026-08-24,0,1.2.0,4.88.0
dd,launch,run_true,median_s,s,0.13046272302,1787647818.525358,2026-08-24,2,1.2.0,4.88.0
dd,launch,churn30_per,per_s,s,0.135,1787647822.765545,2026-08-24,2,1.2.0,4.88.0
dd,launch,parallel20_total,total_s,s,0.976,1787647823.9672918,2026-08-24,2,1.2.0,4.88.0
dd,net,pubport_h2c_p1,gbits,gbps,12.78,1787647833.244499,2026-08-24,2,1.2.0,4.88.0
dd,net,pubport_h2c_p4,gbits,gbps,25.04,1787647841.392878,2026-08-24,2,1.2.0,4.88.0
dd,net,c2host,gbits,gbps,25.48,1787647849.815925,2026-08-24,2,1.2.0,4.88.0
dd,net,c2c,gbits,gbps,102.51,1787647858.417314,2026-08-24,2,1.2.0,4.88.0
dd,io,cp_out,mbps,MBps,217.7,1787647863.83678,2026-08-24,2,1.2.0,4.88.0
dd,io,cp_in,mbps,MBps,148.1,1787647870.937237,2026-08-24,2,1.2.0,4.88.0
dd,fs,bind_write,mbps,MBps,1267.2,1787647872.408036,2026-08-24,2,1.2.0,4.88.0
dd,fs,bind_read,mbps,MBps,2180.3,1787647873.062242,2026-08-24,2,1.2.0,4.88.0
dd,fs,vol_write,mbps,MBps,2012.0,1787647873.80302,2026-08-24,2,1.2.0,4.88.0
dd,fs,overlay_write,mbps,MBps,1656.3,1787647874.658192,2026-08-24,2,1.2.0,4.88.0
dd,fs,smallfiles_bind,extract_s,s,2.595,1787647877.45746,2026-08-24,2,1.2.0,4.88.0
dd,image,load_local,total_s,s,6.524,1787647891.184352,2026-08-24,2,1.2.0,4.88.0
dd,image,load_local,size_mb,MB,381,1787647891.304571,2026-08-24,2,1.2.0,4.88.0
dd,realworld,pgbench_init,load_s,s,2.18,1787647896.179671,2026-08-24,2,1.2.0,4.88.0
dd,realworld,pgbench_tps,tps,tps,12371.529152,1787647926.3635159,2026-08-24,2,1.2.0,4.88.0
dd,build,cold,total_s,s,1.763,1787647929.357362,2026-08-24,2,1.2.0,4.88.0
dd,build,cached_noop,total_s,s,0.234,1787647929.806907,2026-08-24,2,1.2.0,4.88.0
dd,build,incremental,total_s,s,1.568,1787647931.5734131,2026-08-24,2,1.2.0,4.88.0
dd,build,context_xfer,mbps,MBps,86.8,1787647937.740049,2026-08-24,2,1.2.0,4.88.0
dd,compose,up_ready,total_s,s,3.475,1787647959.9531798,2026-08-24,2,1.2.0,4.88.0
dd,compose,down,total_s,s,3.473,1787647963.612556,2026-08-24,2,1.2.0,4.88.0
dd,emul,amd64_sha,total_s,s,2.049,1787647986.370479,2026-08-24,2,1.2.0,4.88.0
dd,emul,native_sha,total_s,s,0.425,1787647986.434818,2026-08-24,2,1.2.0,4.88.0
dd,emul,amd64_tax,ratio,x,4.82,1787647986.557865,2026-08-24,2,1.2.0,4.88.0
dd,quality,slept,flag,n,0,1787647988.980762,2026-08-24,2,1.2.0,4.88.0
velox,launch,run_true,median_s,s,0.10655547438,1787648103.3693461,2026-08-24,2,1.2.0,4.88.0
velox,launch,churn30_per,per_s,s,0.11,1787648106.862189,2026-08-24,2,1.2.0,4.88.0
velox,launch,parallel20_total,total_s,s,0.812,1787648107.878824,2026-08-24,2,1.2.0,4.88.0
velox,net,pubport_h2c_p1,gbits,gbps,49.3,1787648117.398359,2026-08-24,2,1.2.0,4.88.0
velox,net,pubport_h2c_p4,gbits,gbps,61.58,1787648125.553322,2026-08-24,2,1.2.0,4.88.0
velox,net,c2host,gbits,gbps,51.18,1787648133.9129431,2026-08-24,2,1.2.0,4.88.0
velox,net,c2c,gbits,gbps,133.65,1787648142.39961,2026-08-24,2,1.2.0,4.88.0
velox,io,cp_out,mbps,MBps,542.8,1787648144.891129,2026-08-24,2,1.2.0,4.88.0
velox,io,cp_in,mbps,MBps,379.1,1787648147.7851362,2026-08-24,2,1.2.0,4.88.0
velox,fs,bind_write,mbps,MBps,1538.0,1787648149.333056,2026-08-24,2,1.2.0,4.88.0
velox,fs,bind_read,mbps,MBps,2574.1,1787648149.944772,2026-08-24,2,1.2.0,4.88.0
velox,fs,vol_write,mbps,MBps,2114.9,1787648150.6606028,2026-08-24,2,1.2.0,4.88.0
velox,fs,overlay_write,mbps,MBps,2261.1,1787648151.352858,2026-08-24,2,1.2.0,4.88.0
